,职位名称,城市名称,发布时间,薪资范围,经验范围,学历要求,公司名称,公司介绍
111,短视频达人,重庆,16:20,5k-10k,经验不限,不限,竟虚网络,"['营销服务｜咨询,影视｜动漫,新媒体 / 不需要融资 / 50-150人', '游戏', '短视频出镜', '各大主流平台', '“高薪可兼职流量”']"
112,安卓开发工程师,上海,16:20,14k-20k,经验3-5年,本科,SNH48,"['新媒体 / C轮 / 150-500人', '电商平台', '内容社区', 'JAVA', 'JavaScript', 'Android', '“做五休二”']"
113,急招销售+包吃包住+福利,武汉,16:20,5k-10k,经验在校,应届,恩家房地产经纪,"['金融,房产家居 / 未融资 / 50-150人', '房地产｜建筑｜物业', '金融业', '电话销售', '“带薪培训 包吃包住 晋升透明 工作环境好”']"
114,高级服务端开发工程师-语音助手,深圳,16:20,25k-50k,经验3-5年,本科,OPPO,"['智能硬件 / 不需要融资 / 2000人以上', '移动服务端开发', 'JAVA', 'Java', 'C++', '后端', '“公司平台大 核心团队”']"
115,项目经理,深圳,16:20,20k-30k,经验5-10年,本科,微位科技,"['移动互联网 / B轮 / 50-150人', '信息安全', '网络通信', 'PMP', '“国家政策标准研究项目”']"
116,私域运营(J10272),北京,16:20,20k-35k,经验3-5年,本科,微淼财商,"['教育、数据服务 / 未融资 / 2000人以上', '电商平台', '社交平台', '“行业头部，发展空间大”']"
117,产品经理,广州,16:20,10k-17k,经验1-3年,大专,暖暖直播,"['MCN｜直播平台 / 未融资 / 50-150人', '社交平台', 'MCN｜直播平台', 'TO C', '“周末双休；零食下午茶；发展空间大”']"
118,家具美工,广州,16:20,4k-5k,经验1-3年,大专,见住科技,"['软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 15-50人', '房地产｜建筑｜物业', 'Photoshop', 'Illustrator（AI）', 'C4D', 'DreamWeaver', '“室内设计美工”']"
119,行政主管,上海,16:20,12k-20k,经验不限,本科,晓樾智能,"['人工智能服务,医疗｜保健｜美容,智能硬件 / A轮 / 15-50人', '人工智能服务', '“优秀候选人可以成为技术合伙人，享有股权激励”']"
120,售后客服,北京,16:21,5k-8k,经验不限,不限,北京指南针,"['科技金融 / 上市公司 / 500-2000人', '科技金融', '“五险一金 发展空间大”']"
121,golang后端开发工程师,武汉,16:21,18k-35k,经验1-3年,本科,青藤云安全,"['信息安全 / C轮 / 500-2000人', '信息安全', '搜索｜推荐', '“五险一金、饭补”']"
122,高级java开发工程师,北京,16:21,28k-35k,经验5-10年,本科,华图在线,"['在线教育 / D轮及以上 / 150-500人', '在线教育', 'MySQL', '“领导nice，团队氛围好，加班可调休，发展空间大”']"
123,java开发工程师,深圳,16:21,12k-20k,经验3-5年,本科,汇合,"['科技金融 / 不需要融资 / 2000人以上', '科技金融', 'JavaScript', 'Spring', 'Struts', 'MyBatis', '“双休，六险一金，13薪”']"
124,设计师,天津,16:21,7k-14k,经验不限,本科,职引科技,"['软件服务｜咨询,IT技术服务｜咨询,在线教育 / 天使轮 / 15-50人', '软件服务｜咨询', '数据服务｜咨询', 'Photoshop', 'Axure', '移动端/APP设计', '“团队氛围好,目前进来就是核心人员,空间大”']"
125,财务出纳,杭州,16:20,5k-6k,经验1-3年,本科,竟虚网络,"['营销服务｜咨询,影视｜动漫,新媒体 / 不需要融资 / 50-150人', '游戏', '“晋升空间制度齐全氛围好”']"
126,抖音运营专员/助理,上海,16:20,6k-12k,经验1-3年,大专,SNH48,"['新媒体 / C轮 / 150-500人', '新媒体', '内容运营', '“领导nice，五险一金，周末双休”']"
